Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
10639;454158.7334871687;5735279.935364834;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2324;453607.1821053447;5733023.989324849;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
2322;453397.2750100157;5733019.1978934035;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2321;453172.74359512236;5733018.822210717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
4983;453523.13298052974;5734077.63868625;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5830;455864.8711135853;5731921.305059322;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
5831;456065.6934576323;5732049.271401699;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0
4984;453517.081709657;5734208.763149107;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4985;453522.78723919706;5734084.304308389;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5832;456046.6814147198;5732175.799643311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2329;452350.7880935302;5736267.96780817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
3670;456286.45601886755;5735343.980628799;0;0;0;0;0;0;4;4;1;0;0;0;0;0;1;2;3;0;2;0;0;0;0;0
3671;456442.2735494989;5735416.483273278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
3672;454592.06785966386;5733510.868274885;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4520;452806.8090615374;5734626.907327639;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3673;454446.8764768707;5733444.242946206;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1011;458316.19959655555;5731880.820953158;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
2342;452775.11334864894;5737084.953119522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1492;454899.9376378218;5734663.522846357;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1490;454892.4544593053;5734694.176916927;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
